dt 	Current 	Target 	ShortestDistance 	Error 	Acc. Error 	State 	Pivot: br	PID output 				
20504195	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.504195			
20566640	73.3440854065	73.247389184	0.0016876667	0	0	DISABLED	0 		20.56664			
20644515	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.644515			
19552909	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.552909			
20708901	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.708901			
20559254	73.3440854065	73.247389184	0.0016876667	0	0	DISABLED	0 		20.559254			
19958030	73.247389184	73.3440854065	-0.0016876667	0	0	DISABLED	0 		19.95803			
19703846	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		19.703846			
20767269	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.767269			
20540686	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.540686			
20544105	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.544105			
20611452	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		20.611452			
19574212	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.574212			
20662242	73.247389184	73.247389184	0.0016876667	0	0	DISABLED	0 		20.662242			
19638892	73.247389184	73.247389184	-0	0	0	DISABLED	0 		19.638892			
38296125	73.247389184	73.247389184	0.0016876667	0	0	DISABLED	0 		38.296125			
20149339	73.247389184	73.247389184	-0	0	0	DISABLED	0 		20.149339			
20570739	73.3440854065	73.3440854065	-0	0	0	DISABLED	0 		20.570739			
19614466	73.3440854065	73.247389184	-0	0	0	DISABLED	0 		19.614466			
20537754	73.3440854065	73.3440854065	-0.0016876667	0	0	DISABLED	0 		20.537754			
19764830	73.3440854065	73.3440854065	-0.0016876667	0	0	DISABLED	0 		19.76483			
